settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
21574497411						Refund	112-6367249-0500266	112-6367249-0500266	amzn1:crow:zuBJB+ivT9qHfXfTwjjmnw		Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	4.31	AFN	2024-10-11	2024-10-11 20:19:29 UTC	111355883018761		1728447124400178055	TM-ATRNS-LR		
21574497411						Refund	112-6367249-0500266	112-6367249-0500266	amzn1:crow:zuBJB+ivT9qHfXfTwjjmnw		Amazon.com	ItemFees	Commission	12.42	AFN	2024-10-11	2024-10-11 20:19:29 UTC	111355883018761		1728447124400178055	TM-ATRNS-LR		
21574497411						Refund	112-6367249-0500266	112-6367249-0500266	amzn1:crow:zuBJB+ivT9qHfXfTwjjmnw		Amazon.com	ItemFees	RefundCommission	-2.48	AFN	2024-10-11	2024-10-11 20:19:29 UTC	111355883018761		1728447124400178055	TM-ATRNS-LR		
21574497411						Refund	112-6367249-0500266	112-6367249-0500266	amzn1:crow:zuBJB+ivT9qHfXfTwjjmnw		Amazon.com	ItemFees	DigitalServicesFee	0.25	AFN	2024-10-11	2024-10-11 20:19:29 UTC	111355883018761		1728447124400178055	TM-ATRNS-LR		
21574497411						other-transaction	WLbkXRlRGW					other-transaction	RemovalComplete	-1.04		2024-10-12	2024-10-12 06:30:14 UTC						
21574497411						other-transaction						other-transaction	Previous Reserve Amount Balance	1523.36		2024-10-09	2024-10-09 14:28:45 UTC						
21574497411						Liquidations	16782423796551	114-9642540-2813844		16782423796551		ItemPrice	Principal	5.96		2024-10-16	2024-10-16 13:24:02 UTC				B09N5HBBKQ	1
21574497411						Liquidations	16782423796551	114-9642540-2813844		16782423796551		ItemFees	LiquidationsBrokerageFee	-1.37		2024-10-16	2024-10-16 13:24:02 UTC				B09N5HBBKQ	1
21574497411						Liquidations	16736565344551	112-9953333-3195421		16736565344551		ItemPrice	Principal	6.68		2024-10-14	2024-10-14 16:41:32 UTC				B09N5HBBKQ	1
21574497411						Liquidations	16736565344551	112-9953333-3195421		16736565344551		ItemFees	LiquidationsBrokerageFee	-1.50		2024-10-14	2024-10-14 16:41:32 UTC				B09N5HBBKQ	1
21574497411						Order	111-2107375-3727453	111-2107375-3727453		QkxKj1D5w	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-20	2024-10-20 21:56:17 UTC	112298118431401			TM-ATRNS-LL	1	
21574497411						Order	111-2107375-3727453	111-2107375-3727453		QkxKj1D5w	Amazon.com	ItemPrice	Tax	0.86	AFN	2024-10-20	2024-10-20 21:56:17 UTC	112298118431401			TM-ATRNS-LL	1	
21574497411						Order	111-2107375-3727453	111-2107375-3727453		QkxKj1D5w	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-0.86	AFN	2024-10-20	2024-10-20 21:56:17 UTC	112298118431401			TM-ATRNS-LL	1	
21574497411						Order	111-2107375-3727453	111-2107375-3727453		QkxKj1D5w	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.84	AFN	2024-10-20	2024-10-20 21:56:17 UTC	112298118431401			TM-ATRNS-LL	1	
21574497411						Order	111-2107375-3727453	111-2107375-3727453		QkxKj1D5w	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-20	2024-10-20 21:56:17 UTC	112298118431401			TM-ATRNS-LL	1	
21574497411						Order	111-2107375-3727453	111-2107375-3727453		QkxKj1D5w	Amazon.com	ItemFees	DigitalServicesFee	-0.37	AFN	2024-10-20	2024-10-20 21:56:17 UTC	112298118431401			TM-ATRNS-LL	1	
21574497411						Order	111-2829056-9456202	111-2829056-9456202		Q709kzKzB	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-19	2024-10-19 04:04:03 UTC	112211100425241			TM-ATRNS-LL	1	
21574497411						Order	111-2829056-9456202	111-2829056-9456202		Q709kzKzB	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.84	AFN	2024-10-19	2024-10-19 04:04:03 UTC	112211100425241			TM-ATRNS-LL	1	
21574497411						Order	111-2829056-9456202	111-2829056-9456202		Q709kzKzB	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-19	2024-10-19 04:04:03 UTC	112211100425241			TM-ATRNS-LL	1	
21574497411						Order	111-2829056-9456202	111-2829056-9456202		Q709kzKzB	Amazon.com	ItemFees	DigitalServicesFee	-0.37	AFN	2024-10-19	2024-10-19 04:04:03 UTC	112211100425241			TM-ATRNS-LL	1	
21574497411						Order	111-4473973-0784265	111-4473973-0784265		QvnKSGvwB	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-19	2024-10-19 18:15:14 UTC	112227753895641			TM-ATRNS-SR	1	
21574497411						Order	111-4473973-0784265	111-4473973-0784265		QvnKSGvwB	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.29	AFN	2024-10-19	2024-10-19 18:15:14 UTC	112227753895641			TM-ATRNS-SR	1	
21574497411						Order	111-4473973-0784265	111-4473973-0784265		QvnKSGvwB	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-19	2024-10-19 18:15:14 UTC	112227753895641			TM-ATRNS-SR	1	
21574497411						Order	111-4473973-0784265	111-4473973-0784265		QvnKSGvwB	Amazon.com	ItemFees	DigitalServicesFee	-0.36	AFN	2024-10-19	2024-10-19 18:15:14 UTC	112227753895641			TM-ATRNS-SR	1	
21574497411						Order	114-4915528-3887424	114-4915528-3887424		QsYqyCgfy	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-22	2024-10-22 22:46:12 UTC	112431072490361			TM-ATRNS-LL	1	
21574497411						Order	114-4915528-3887424	114-4915528-3887424		QsYqyCgfy	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.84	AFN	2024-10-22	2024-10-22 22:46:12 UTC	112431072490361			TM-ATRNS-LL	1	
21574497411						Order	114-4915528-3887424	114-4915528-3887424		QsYqyCgfy	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-22	2024-10-22 22:46:12 UTC	112431072490361			TM-ATRNS-LL	1	
21574497411						Order	114-4915528-3887424	114-4915528-3887424		QsYqyCgfy	Amazon.com	ItemFees	DigitalServicesFee	-0.37	AFN	2024-10-22	2024-10-22 22:46:12 UTC	112431072490361			TM-ATRNS-LL	1	
21574497411						Order	112-0042703-4761064	112-0042703-4761064		QWFqzTsYB	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-18	2024-10-18 05:43:28 UTC	112096434829801			TM-ATRNS-LL	1	
21574497411						Order	112-0042703-4761064	112-0042703-4761064		QWFqzTsYB	Amazon.com	ItemPrice	Shipping	9.66	AFN	2024-10-18	2024-10-18 05:43:28 UTC	112096434829801			TM-ATRNS-LL	1	
21574497411						Order	112-0042703-4761064	112-0042703-4761064		QWFqzTsYB	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.84	AFN	2024-10-18	2024-10-18 05:43:28 UTC	112096434829801			TM-ATRNS-LL	1	
